Date,Open,High,Low,Close,Adj Close,Volume
2018-12-21,97.279999,98.279999,92.449997,92.519997,91.448853,3293500
2018-12-24,91.570000,92.089996,89.480003,89.480003,88.444054,1390100
2018-12-26,91.000000,94.510002,89.510002,94.470001,93.376274,1594000
2018-12-27,92.900002,94.800003,90.900002,94.760002,93.662926,1278500
2018-12-28,95.190002,97.209999,94.379997,96.040001,94.928101,1704400
2018-12-31,96.589996,97.980003,96.000000,97.790001,96.657837,1879200
2019-01-02,96.400002,98.510002,95.949997,97.790001,96.657837,1352200
2019-01-03,96.699997,97.309998,91.879997,92.550003,91.478516,2807800
2019-01-04,94.800003,99.919998,94.500000,98.760002,97.616615,2261400
2019-01-07,99.669998,102.709999,98.809998,101.830002,100.651070,2150300
2019-01-08,103.739998,104.809998,102.529999,103.930000,102.726761,1882300
2019-01-09,104.620003,105.080002,103.050003,104.360001,103.151772,1454000
2019-01-10,103.400002,105.400002,102.209999,104.900002,103.685524,1670800
2019-01-11,104.099998,106.449997,103.949997,106.419998,105.187920,1305600
2019-01-14,105.029999,105.970001,104.250000,104.970001,103.754715,1131700
2019-01-15,105.410004,105.790001,103.489998,105.620003,104.397194,1452700
2019-01-16,105.680000,106.739998,105.010002,105.660004,104.436729,1169400
2019-01-17,104.949997,107.690002,104.820000,107.040001,105.800751,1059200
2019-01-18,108.070000,110.160004,107.610001,109.349998,108.084000,1877500
2019-01-22,109.010002,109.779999,107.839996,108.629997,107.372337,2066400
2019-01-23,109.010002,110.400002,106.889999,108.309998,107.056038,1505900
2019-01-24,108.839996,109.830002,108.279999,109.750000,108.479378,965800
2019-01-25,111.000000,111.919998,110.360001,111.739998,110.446335,1214100
2019-01-28,110.629997,112.669998,110.300003,112.209999,110.910896,1470700
2019-01-29,112.040001,112.910004,111.169998,112.050003,110.752747,2305700
2019-01-30,116.849998,121.430000,116.500000,120.980003,119.579361,4819900
2019-01-31,120.669998,121.459999,119.199997,120.050003,118.660133,2551900
2019-02-01,120.540001,121.000000,117.839996,118.309998,116.940262,2042400
2019-02-04,118.309998,119.500000,117.879997,119.000000,117.622276,1402600
2019-02-05,119.360001,120.260002,117.699997,118.220001,116.851318,2070000
2019-02-06,116.949997,118.510002,116.910004,118.150002,116.782120,2856100
2019-02-07,117.400002,117.400002,114.400002,115.680000,114.340721,1688800
2019-02-08,114.330002,115.769997,112.809998,114.839996,113.510445,2122500
2019-02-11,116.110001,117.099998,115.639999,116.099998,114.755859,1569200
2019-02-12,116.650002,116.820000,115.339996,116.290001,114.943665,1771400
2019-02-13,117.760002,118.739998,117.419998,117.839996,116.475708,1296400
2019-02-14,117.000000,117.589996,115.989998,117.220001,115.862892,971000
2019-02-15,117.900002,118.419998,117.239998,117.970001,116.604210,1325500
2019-02-19,117.580002,120.730003,117.580002,119.360001,117.978119,1935300
2019-02-20,119.459999,121.290001,119.230003,120.830002,119.431099,1119600
2019-02-21,123.029999,124.250000,120.510002,120.970001,119.569481,1974000
2019-02-22,121.029999,121.440002,120.349998,120.930000,119.529938,838200
2019-02-25,121.790001,121.790001,120.470001,120.559998,119.164223,872900
2019-02-26,120.019997,120.790001,119.389999,119.660004,118.274643,909600
2019-02-27,119.000000,119.919998,117.209999,118.459999,117.088531,1267700
2019-02-28,118.209999,119.430000,117.290001,118.480003,117.108307,1059300
2019-03-01,119.970001,121.250000,118.610001,119.029999,117.651932,1378900
2019-03-04,119.190002,119.699997,116.510002,117.680000,116.317566,1278600
2019-03-05,118.150002,119.970001,118.029999,119.410004,118.027534,1189600
2019-03-06,118.610001,119.279999,117.000000,117.089996,116.416847,1050100
